,title,related_title
73,My wish: Help me stop pandemics,HIV and flu -- the vaccine strategy
74,My wish: Help me stop pandemics,Demo: A needle-free vaccine patch that's safer and way cheaper
75,My wish: Help me stop pandemics,Lessons from the 1918 flu
76,My wish: Help me stop pandemics,The case for optimism
77,My wish: Help me stop pandemics,The power of herd immunity
78,The radical promise of the multi-touch interface,The thrilling potential of SixthSense technology
79,The radical promise of the multi-touch interface,Pointing to the future of UI
80,The radical promise of the multi-touch interface,The best computer interface? Maybe ... your hands
81,The radical promise of the multi-touch interface,Shape-shifting tech will change work as we know it
82,The radical promise of the multi-touch interface,Juggling as art ... and science
83,The radical promise of the multi-touch interface,"5 predictions, from 1984"
84,One Laptop per Child,A 30-year history of the future
85,One Laptop per Child,The thinking behind 50x15
86,One Laptop per Child,Build a School in the Cloud
87,One Laptop per Child,"One Laptop per Child, two years on"
88,One Laptop per Child,Taking OLPC to Colombia
89,One Laptop per Child,"5 predictions, from 1984"
90,An 11-year-old's magical violin,An 11-year-old prodigy performs old-school jazz
91,An 11-year-old's magical violin,"The dancer, the singer, the cellist ... and a moment of creative magic"
92,An 11-year-old's magical violin,"On violin and cello, ""Passacaglia"""
93,An 11-year-old's magical violin,"Music is medicine, music is sanity"
94,An 11-year-old's magical violin,Music and emotion through time
95,An 11-year-old's magical violin,The DIY orchestra of the future
96,"Improvising on piano, aged 14",An 11-year-old prodigy performs old-school jazz
97,"Improvising on piano, aged 14",Why I take the piano on the road ... and in the air
98,"Improvising on piano, aged 14",There are no mistakes on the bandstand
99,"Improvising on piano, aged 14",The mad scientist of music
100,"Improvising on piano, aged 14",How architecture helped music evolve
101,"Improvising on piano, aged 14",Inventing instruments that unlock new music
102,Simple designs to save a life,Energy from floating algae pods
103,Simple designs to save a life,Using nature's genius in architecture
104,Simple designs to save a life,Cooking as never seen before
105,Simple designs to save a life,A vision for sustainable restaurants
106,Simple designs to save a life,3 stories of local eco-entrepreneurship
107,Simple designs to save a life,My wish: Rebuilding Rwanda
108,"Organic design, inspired by nature","Magical houses, made of bamboo"
109,"Organic design, inspired by nature",My green agenda for architecture
110,"Organic design, inspired by nature",Biomimicry in action
111,"Organic design, inspired by nature",Great cars are great art
112,"Organic design, inspired by nature",Ways of seeing
113,"Organic design, inspired by nature",Treat design as art
114,The birth of Wikipedia,The Web as random acts of kindness
115,The birth of Wikipedia,The Web as a city
116,The birth of Wikipedia,Massive-scale online collaboration
117,The birth of Wikipedia,The new open-source economics
118,The birth of Wikipedia,Is Pivot a turning point for web exploration?
119,The birth of Wikipedia,"Beware online ""filter bubbles"""
120,The birth of the open-source learning revolution,Why massive open online courses (still) matter
121,The birth of the open-source learning revolution,What we're learning from online education
122,The birth of the open-source learning revolution,The self-organizing computer course
123,The birth of the open-source learning revolution,A free digital library
124,The birth of the open-source learning revolution,My year reading a book from every country in the world
125,The birth of the open-source learning revolution,Old books reborn as art
126,Nerdcore comedy,The  4 a.m. mystery
127,Nerdcore comedy,My web playroom
128,Nerdcore comedy,Are you human?
129,Nerdcore comedy,How to find a wonderful idea
130,Nerdcore comedy,Visualizing ourselves ... with crowd-sourced data
131,Nerdcore comedy,How artists can (finally) get paid in the digital age 
132,Meet the founder of the blog revolution,The Web's secret stories
133,Meet the founder of the blog revolution,The technology of storytelling
134,Meet the founder of the blog revolution,The clues to a great story
135,Meet the founder of the blog revolution,The genesis of Google
136,Meet the founder of the blog revolution,How the Net aids dictatorships
137,Meet the founder of the blog revolution,Half a million secrets
138,"Why we love, why we cheat",The brain in love
139,"Why we love, why we cheat","Aliens, love -- where are they?"
140,"Why we love, why we cheat",The secret to desire in a long-term relationship
141,"Why we love, why we cheat",Technology hasn't changed love. Here's why
142,"Why we love, why we cheat",A better way to talk about love
143,"Why we love, why we cheat",Falling in love is the easy part
144,Happiness in body and soul,What security means to me
145,Happiness in body and soul,Embrace your inner girl
146,Happiness in body and soul,Violence against women -- it's a men's issue
147,Happiness in body and soul,"Suddenly, my body"
148,Happiness in body and soul,My mother’s strange definition of empowerment
149,Happiness in body and soul,"Radical women, embracing tradition"
150,Chemical scum that dream of distant quasars,"How I fell in love with quasars, blazars and our incredible universe"
151,Chemical scum that dream of distant quasars,The hunt for a supermassive black hole
152,Chemical scum that dream of distant quasars,The sound the universe makes
153,Chemical scum that dream of distant quasars,Is this our final century?
154,Chemical scum that dream of distant quasars,Is our universe the only universe?
155,Chemical scum that dream of distant quasars,Questioning the universe
156,Why the universe seems so strange,Science versus wonder?
157,Why the universe seems so strange,Making sense of a visible quantum object
158,Why the universe seems so strange,Stunning data visualization in the AlloSphere
159,Why the universe seems so strange,The fascinating physics of everyday life
160,Why the universe seems so strange,Is this our final century?
161,Why the universe seems so strange,Science and democracy
162,The freakonomics of crack dealing,"Choice, happiness and spaghetti sauce"
163,The freakonomics of crack dealing,How we're priming some kids for college — and others for prison
164,The freakonomics of crack dealing,Does money make you mean?
165,The freakonomics of crack dealing,The deadly genius of drug cartels
166,The freakonomics of crack dealing,How we cut youth violence in Boston by 79 percent
167,The freakonomics of crack dealing,Everything you think you know about addiction is wrong
168,"Choice, happiness and spaghetti sauce",The paradox of choice
169,"Choice, happiness and spaghetti sauce",How to get your ideas to spread
170,"Choice, happiness and spaghetti sauce",The unheard story of David and Goliath
171,"Choice, happiness and spaghetti sauce",What's wrong with what we eat
172,"Choice, happiness and spaghetti sauce",My subversive (garden) plot
173,"Choice, happiness and spaghetti sauce",Teach every child about food
174,The surprising science of happiness,The Happy Planet Index
175,The surprising science of happiness,Want to be happy? Be grateful
176,The surprising science of happiness,Happy maps
177,The surprising science of happiness,Want to be happier? Stay in the moment
178,The surprising science of happiness,Happiness and its surprises
179,The surprising science of happiness,The riddle of experience vs. memory
180,The paradox of choice,How to make hard choices 
181,The paradox of choice,The art of choosing
182,The paradox of choice,Our unhealthy obsession with choice
183,The paradox of choice,How to make choosing easier
184,The paradox of choice,Why you should define your fears instead of your goals
185,The paradox of choice,Why we make bad decisions
186,Meet the future of cancer research,The future of early cancer detection?
187,Meet the future of cancer research,Can we eat to starve cancer?
188,Meet the future of cancer research,How I'm preparing to get Alzheimer's
189,Meet the future of cancer research,Fighting a contagious cancer
190,Meet the future of cancer research,We can start winning the war against cancer
191,Meet the future of cancer research,Treating cancer with electric fields
192,A roadmap to end aging,Your genes are not your fate
193,A roadmap to end aging,The potential of regenerative medicine
194,A roadmap to end aging,Meet the future of cancer research
195,A roadmap to end aging,"How young blood might help reverse aging. Yes, really"
196,A roadmap to end aging,A philosophical quest for our biggest problems
197,A roadmap to end aging,To upgrade is human
198,How mobile phones can fight poverty,"The ""bottom billion"""
199,How mobile phones can fight poverty,Patient capitalism
200,How mobile phones can fight poverty,"One Laptop per Child, two years on"
201,How mobile phones can fight poverty,How open data is changing international aid
202,How mobile phones can fight poverty,The hidden force in global economics: sending money home
203,How mobile phones can fight poverty,Should you donate differently?
204,Invest in Africa's own solutions,"In praise of macro -- yes, macro -- finance in Africa"
205,Invest in Africa's own solutions,Why invest in Africa
206,Invest in Africa's own solutions,Want to help Africa? Do business here
207,Invest in Africa's own solutions,Patient capitalism
208,Invest in Africa's own solutions,Social experiments to fight poverty
209,Invest in Africa's own solutions,A third way to think about aid
210,Why we should invest in a free press,Invest in Africa's own solutions
211,Why we should invest in a free press,My journey into movies that matter
212,Why we should invest in a free press,Fight injustice with raw video
213,Why we should invest in a free press,Social media and the end of gender
214,Why we should invest in a free press,"Poverty, money -- and love"
215,Why we should invest in a free press,What really motivates people to be honest in business
216,How to rebuild a broken state,Want to help Africa? Do business here
217,How to rebuild a broken state,We need money for aid. So let’s print it.
218,How to rebuild a broken state,New rules for rebuilding a broken nation
219,How to rebuild a broken state,Time to end the war in Afghanistan
220,How to rebuild a broken state,"The ""bottom billion"""
221,How to rebuild a broken state,Doesn't everyone deserve a chance at a good life?
222,The real future of space exploration,I'm going to the moon. Who's with me?
223,The real future of space exploration,The astonishing hidden world of the deep ocean
224,The real future of space exploration,Our next giant leap
225,The real future of space exploration,A plane you can drive
226,The real future of space exploration,From mach-20 glider to hummingbird drone
227,The real future of space exploration,A flight on solar wings
228,Why did I ski to the North Pole?,The surprising thing I learned sailing solo around the world
229,Why did I ski to the North Pole?,A leap from the edge of space
230,Why did I ski to the North Pole?,The joy of surfing in ice-cold water
231,Why did I ski to the North Pole?,To the South Pole and back — the hardest 105 days of my life
232,Why did I ski to the North Pole?,Why bother leaving the house?
233,Why did I ski to the North Pole?,Let's save the last pristine continent
234,My wish: Three actions for Africa,How to educate leaders? Liberal arts
235,My wish: Three actions for Africa,Patient capitalism
236,My wish: Three actions for Africa,Want to help Africa? Do business here
237,My wish: Three actions for Africa,How I became an activist
238,My wish: Three actions for Africa,Why invest in Africa
239,My wish: Three actions for Africa,How Africa can keep rising
240,My wish: Manufactured landscapes and green education,Turning powerful stats into art
241,My wish: Manufactured landscapes and green education,My wish: Let my photographs bear witness
242,My wish: Manufactured landscapes and green education,The story of life in photographs
243,My wish: Manufactured landscapes and green education,The generation that's remaking China
244,My wish: Manufactured landscapes and green education,The voices of China's workers
245,My wish: Manufactured landscapes and green education,3 warp-speed architecture tales
246,My wish: Three unusual medical inventions,"Luke, a new prosthetic arm for soldiers"
247,My wish: Three unusual medical inventions,The potential of regenerative medicine
248,My wish: Three unusual medical inventions,Robots inspired by cockroach ingenuity
249,My wish: Three unusual medical inventions,"Parkinson's, depression and the switch that might turn them off"
250,My wish: Three unusual medical inventions,Ultrasound surgery -- healing without cuts
251,My wish: Three unusual medical inventions,A new way to heal hearts without surgery
252,How juries are fooled by statistics,The best stats you've ever seen
253,How juries are fooled by statistics,Why people believe weird things
254,How juries are fooled by statistics,Flip your thinking on AIDS in Africa
255,How juries are fooled by statistics,Learning from the gecko's tail
256,How juries are fooled by statistics,"The hunt for ""unexpected genetic heroes"""
257,How juries are fooled by statistics,What really motivates people to be honest in business
258,Why people believe weird things,A new way to explain explanation
259,Why people believe weird things,"10 myths about psychology, debunked"
260,Why people believe weird things,What we think we know
261,Why people believe weird things,Play! Experiment! Discover!
262,Why people believe weird things,Why we should trust scientists
263,Why people believe weird things,The pursuit of ignorance
264,The accelerating power of technology,How technology evolves
265,The accelerating power of technology,How PhotoSynth can connect the world's images
266,The accelerating power of technology,Health and the human mind
267,The accelerating power of technology,A university for the coming singularity
268,The accelerating power of technology,What would happen if we upload our brains to computers?
269,The accelerating power of technology,Back to the future (of 1994)
270,How technology evolves,"The next 5,000 days of the web"
271,How technology evolves,The accelerating power of technology
272,How technology evolves,The anthropology of mobile phones
273,How technology evolves,Technology's epic story
274,How technology evolves,Are we ready for neo-evolution?
275,How technology evolves,Technology's long tail
276,Fight injustice with raw video,Why we should invest in a free press
277,Fight injustice with raw video,My journey into movies that matter
278,Fight injustice with raw video,My wish: Let my photographs bear witness
279,Fight injustice with raw video,An Iraq war movie crowd-sourced from soldiers
280,Fight injustice with raw video,Hidden cameras that film injustice in the world’s most dangerous places
281,Fight injustice with raw video,The story of Ezra
282,8 secrets of success,Do schools kill creativity?
283,8 secrets of success,5 dangerous things you should let your kids do
284,8 secrets of success,The paradox of choice
285,8 secrets of success,Success is a continuous journey
286,8 secrets of success,What I learned from 100 days of rejection
287,8 secrets of success,How to run a company with (almost) no rules
288,If I controlled the Internet,The  4 a.m. mystery
289,If I controlled the Internet,A story of mixed emoticons
290,If I controlled the Internet,My web playroom
291,If I controlled the Internet,The Internet could crash. We need a Plan B
292,If I controlled the Internet,The Web as random acts of kindness
293,If I controlled the Internet,Tracking our online trackers
294,The killer American diet that's sweeping the planet,What's wrong with what we eat
295,The killer American diet that's sweeping the planet,What's wrong with school lunches
296,The killer American diet that's sweeping the planet,How the news distorts our worldview
297,The killer American diet that's sweeping the planet,Healing through diet
298,The killer American diet that's sweeping the planet,How to live to be 100+
299,The killer American diet that's sweeping the planet,Why dieting doesn't usually work
300,The hidden world of shadow cities,Photographs of secret sites
301,The hidden world of shadow cities,Ingenious homes in unexpected places
302,The hidden world of shadow cities,My architectural philosophy? Bring the community into the process
303,The hidden world of shadow cities,Who belongs in a city?
304,The hidden world of shadow cities,Greening the ghetto
305,The hidden world of shadow cities,A practical way to help the homeless find work and safety
306,Global priorities bigger than climate change,How the news distorts our worldview
307,Global priorities bigger than climate change,The best stats you've ever seen
308,Global priorities bigger than climate change,Flip your thinking on AIDS in Africa
309,Global priorities bigger than climate change,My wish: Rebuilding Rwanda
310,Global priorities bigger than climate change,The inside story of the Paris climate agreement
311,Global priorities bigger than climate change,Doesn't everyone deserve a chance at a good life?
312,Dreams from endangered cultures,The worldwide web of belief and ritual
313,Dreams from endangered cultures,The story of life in photographs
314,Dreams from endangered cultures,Photos of endangered cultures
315,Dreams from endangered cultures,What the people of the Amazon know that you don't
316,Dreams from endangered cultures,Nature is everywhere -- we just need to learn to see it
317,Dreams from endangered cultures,The magic of the Amazon: A river that flows invisibly all around us
318,Photos of endangered cultures,Gorgeous portraits of the world's vanishing people
319,Photos of endangered cultures,What the people of the Amazon know that you don't
320,Photos of endangered cultures,Where is home?
321,Photos of endangered cultures,Tribal leadership
322,Photos of endangered cultures,How I work to protect women from honor killings
323,Photos of endangered cultures,The tribes we lead
324,Is this our final century?,10 ways the world could end
325,Is this our final century?,Progress is not a zero-sum game
326,Is this our final century?,Why do societies collapse?
327,Is this our final century?,Chemical scum that dream of distant quasars
328,Is this our final century?,Join the SETI search
329,Is this our final century?,Why we need the explorers
330,Progress is not a zero-sum game,The surprising decline in violence
331,Progress is not a zero-sum game,Is this our final century?
332,Progress is not a zero-sum game,The moral roots of liberals and conservatives
333,Progress is not a zero-sum game,Science can answer moral questions
334,Progress is not a zero-sum game,How to have better political conversations
335,Progress is not a zero-sum game,What your designs say about you
336,"How the ""ghost map"" helped end a killer disease",My wish: Help me stop pandemics
337,"How the ""ghost map"" helped end a killer disease",The freakonomics of crack dealing
338,"How the ""ghost map"" helped end a killer disease","Choice, happiness and spaghetti sauce"
339,"How the ""ghost map"" helped end a killer disease",Making sense of maps
340,"How the ""ghost map"" helped end a killer disease",New York -- before the City
341,"How the ""ghost map"" helped end a killer disease",Maps that show us who we are (not just where we are)
342,The era of open innovation,The new power of collaboration
343,The era of open innovation,The new open-source economics
344,The era of open innovation,Institutions vs. collaboration
345,The era of open innovation,Four principles for the open world
346,The era of open innovation,Two reasons companies fail -- and how to avoid them
347,The era of open innovation,The post-crisis consumer
348,Four American characters,Letting go of God
349,Four American characters,If I controlled the Internet
350,Four American characters,"Aliens, love -- where are they?"
351,Four American characters,12 truths I learned from life and writing
352,Four American characters,A black man goes undercover in the alt-right
353,Four American characters,Behind the lies of Holocaust denial
354,Everyday inventions,Unleash your creativity in a Fab Lab
355,Everyday inventions,Simple designs to save a life
356,Everyday inventions,Designing objects that tell stories
357,Everyday inventions,Can we make things that make themselves?
358,Everyday inventions,"The emergence of ""4D printing"""
359,Everyday inventions,Computing a theory of all knowledge
360,Unleash your creativity in a Fab Lab,Simple designs to save a life
361,Unleash your creativity in a Fab Lab,Everyday inventions
362,Unleash your creativity in a Fab Lab,"One Laptop per Child, two years on"
363,Unleash your creativity in a Fab Lab,Meet the inventor of the electronic spreadsheet
364,Unleash your creativity in a Fab Lab,The self-organizing computer course
365,Unleash your creativity in a Fab Lab,Pointing to the future of UI
366,In praise of slowness,The paradox of choice
367,In praise of slowness,What's wrong with what we eat
368,In praise of slowness,The lost art of letter-writing
369,In praise of slowness,The art of stillness
370,In praise of slowness,Why our screens make us less happy
371,In praise of slowness,How to make work-life balance work
372,My wish: Rebuilding Rwanda,My wish: Three actions for Africa
373,My wish: Rebuilding Rwanda,Want to help Africa? Do business here
374,My wish: Rebuilding Rwanda,A hospital tour in Nigeria
375,My wish: Rebuilding Rwanda,Doesn't everyone deserve a chance at a good life?
376,My wish: Rebuilding Rwanda,World-class health care
377,My wish: Rebuilding Rwanda,No one should die because they live too far from a doctor
378,My wish: Build the Encyclopedia of Life,How humans and animals can live together
379,My wish: Build the Encyclopedia of Life,The story of life in photographs
380,My wish: Build the Encyclopedia of Life,A hero of the Congo forest
381,My wish: Build the Encyclopedia of Life,Meet the microscopic life in your home -- and on your face
382,My wish: Build the Encyclopedia of Life,Are we ready for neo-evolution?
383,My wish: Build the Encyclopedia of Life,"How bacteria ""talk"""
384,My wish: Let my photographs bear witness,My wish: Manufactured landscapes and green education
385,My wish: Let my photographs bear witness,Dreams from endangered cultures
386,My wish: Let my photographs bear witness,Turning powerful stats into art
387,My wish: Let my photographs bear witness,What I saw in the war
388,My wish: Let my photographs bear witness,A complicated hero in the war on dictatorship
389,My wish: Let my photographs bear witness,The path to ending ethnic conflicts
390,What separates us from chimpanzees?,The gentle genius of bonobos
391,What separates us from chimpanzees?,The emergent genius of ant colonies
392,What separates us from chimpanzees?,The shrimp with a kick!
393,What separates us from chimpanzees?,How humans and animals can live together
394,What separates us from chimpanzees?,What explains the rise of humans?
395,What separates us from chimpanzees?,Moral behavior in animals
396,How to get your ideas to spread,"Choice, happiness and spaghetti sauce"
397,How to get your ideas to spread,Technology's long tail
398,How to get your ideas to spread,Designing objects that tell stories
399,How to get your ideas to spread,The first secret of design is ... noticing
400,How to get your ideas to spread,How great leaders inspire action
401,How to get your ideas to spread,How to pitch to a VC
402,How we discovered DNA,My wish: Build the Encyclopedia of Life
403,How we discovered DNA,"Beauty, truth and ... physics?"
404,How we discovered DNA,Visualizing the wonder of a living cell
405,How we discovered DNA,Animations of unseeable biology
406,How we discovered DNA,The era of personal DNA testing is here
407,How we discovered DNA, How CRISPR lets us edit our DNA
408,Visual illusions that show how we (mis)think,"Art with wire, sugar, chocolate and string"
409,Visual illusions that show how we (mis)think,Why people believe weird things
410,Visual illusions that show how we (mis)think,Brain magic
411,Visual illusions that show how we (mis)think,Is there a real you?
412,Visual illusions that show how we (mis)think,Want to be happier? Stay in the moment
413,Visual illusions that show how we (mis)think,The surprising science of happiness
414,To invent is to give,Simple designs to save a life
415,To invent is to give,My wish: A call for open-source architecture
416,To invent is to give,Unleash your creativity in a Fab Lab
417,To invent is to give,Brilliant designs to fit more people in every city
418,To invent is to give,7 principles for building better cities
419,To invent is to give,A future beyond traffic gridlock
420,The life code that will reshape the future,On the verge of creating synthetic life
421,The life code that will reshape the future,How we discovered DNA
422,The life code that will reshape the future,"DNA folding, in detail"
423,The life code that will reshape the future,Sampling the ocean's DNA
424,The life code that will reshape the future,Experiments that hint of longer lives
425,The life code that will reshape the future,"Watch me unveil ""synthetic life"""
426,Happiness by design,Things I've learned in my life so far
427,Happiness by design,The illustrated woman
428,Happiness by design,Designing for simplicity
429,Happiness by design,The surprising science of happiness
430,Happiness by design,Want to be happier? Stay in the moment
431,Happiness by design,Happiness and its surprises
432,The route to a sustainable future,Cradle to cradle design
433,The route to a sustainable future,Biomimicry's surprising lessons from nature's engineers
434,The route to a sustainable future,Designing objects that tell stories
435,The route to a sustainable future,A smog vacuum cleaner and other magical city designs
436,The route to a sustainable future,My green agenda for architecture
437,The route to a sustainable future,Tools for a better world
438,How architecture can connect us,"Organic design, inspired by nature"
439,How architecture can connect us,The Blur Building and other tech-empowered architecture
440,How architecture can connect us,My wish: A call for open-source architecture
441,How architecture can connect us,Why great architecture should tell a story
442,How architecture can connect us,Why glass towers are bad for city life -- and what we need instead
443,How architecture can connect us,17 words of architectural inspiration
444,Great cars are great art,The real future of space exploration
445,Great cars are great art,Designing objects that tell stories
446,Great cars are great art,"Organic design, inspired by nature"
447,Great cars are great art,"The future race car -- 150mph, and no driver"
448,Great cars are great art,"If cars could talk, accidents might be avoidable"
449,Great cars are great art,Uber's plan to get more people into fewer cars
450,"Singing ""What I Want""","""Thula Mama"""
451,"Singing ""What I Want""","""Kiteflyer's Hill"""
452,"Singing ""What I Want""",Cape Breton fiddling in reel time
453,"Singing ""What I Want""",A new kind of music video
454,"Singing ""What I Want""","""Peace on Earth"""
455,"Singing ""What I Want""","On tennis, love and motherhood"
456,Design is in the details,Tales of creativity and play
457,Design is in the details,Designing objects that tell stories
458,Design is in the details,Designing for simplicity
459,Design is in the details,Designers -- think big!
460,Design is in the details,Why design should include everyone
461,Design is in the details,Human-centered design
462,"Art with wire, sugar, chocolate and string","My creations, a new form of life"
463,"Art with wire, sugar, chocolate and string",Moving sculpture
464,"Art with wire, sugar, chocolate and string",Visual illusions that show how we (mis)think
465,"Art with wire, sugar, chocolate and string",An unusual glimpse at celebrity
466,"Art with wire, sugar, chocolate and string",My obsession with objects and the stories they tell
467,"Art with wire, sugar, chocolate and string",Gorgeous portraits of the world's vanishing people
468,A philosophical quest for our biggest problems,Is this our final century?
469,A philosophical quest for our biggest problems,How technology evolves
470,A philosophical quest for our biggest problems,Progress is not a zero-sum game
471,A philosophical quest for our biggest problems,What would happen if we upload our brains to computers?
472,A philosophical quest for our biggest problems,A roadmap to end aging
473,A philosophical quest for our biggest problems,To upgrade is human
474,Biomimicry's surprising lessons from nature's engineers,Robots inspired by cockroach ingenuity
475,Biomimicry's surprising lessons from nature's engineers,The fractals at the heart of African designs
476,Biomimicry's surprising lessons from nature's engineers,6 ways mushrooms can save the world
477,Biomimicry's surprising lessons from nature's engineers,Biomimicry in action
478,Biomimicry's surprising lessons from nature's engineers,Using nature's genius in architecture
479,Biomimicry's surprising lessons from nature's engineers,Energy from floating algae pods
480,Sampling the ocean's DNA,On the verge of creating synthetic life
481,Sampling the ocean's DNA,A family tree for humanity
482,Sampling the ocean's DNA,"DNA folding, in detail"
483,Sampling the ocean's DNA,Genomics 101
484,Sampling the ocean's DNA,"Watch me unveil ""synthetic life"""
485,Sampling the ocean's DNA,Welcome to the genomic revolution
486,Software (as) art,The Web's secret stories
487,Software (as) art,A new kind of music video
488,Software (as) art,"Art with wire, sugar, chocolate and string"
489,Software (as) art,My journey in design
490,Software (as) art,"How art, technology and design inform creative leaders"
491,Software (as) art,Art that looks back at you
492,The gentle genius of bonobos,How humans and animals can live together
493,The gentle genius of bonobos,The shrimp with a kick!
494,The gentle genius of bonobos,The emergent genius of ant colonies
495,The gentle genius of bonobos,"Evolution's gift of play, from bonobo apes to humans"
496,The gentle genius of bonobos,"Why I keep speaking up, even when people mock my accent"
497,The gentle genius of bonobos,What separates us from chimpanzees?
498,The story of life in photographs,Dreams from endangered cultures
499,The story of life in photographs,How photography connects us
500,The story of life in photographs,Visualizing the wonder of a living cell
501,The story of life in photographs,Life in Biosphere 2
502,The story of life in photographs,The magic of the Amazon: A river that flows invisibly all around us
503,The story of life in photographs,How humans could evolve to survive in space
504,The shrimp with a kick!,Swim with the giant sunfish
505,The shrimp with a kick!,The gentle genius of bonobos
506,The shrimp with a kick!,The emergent genius of ant colonies
507,The shrimp with a kick!,Robots inspired by cockroach ingenuity
508,The shrimp with a kick!,"The new bionics that let us run, climb and dance"
509,The shrimp with a kick!,"The secrets of nature's grossest creatures, channeled into robots"
510,"Global warming's theme song, ""Manhattan in January""",The Jill and Julia Show
511,"Global warming's theme song, ""Manhattan in January""","""Black Men Ski"""
512,"Global warming's theme song, ""Manhattan in January""",Averting the climate crisis
513,"Global warming's theme song, ""Manhattan in January""",A whistleblower you haven't heard
514,"Global warming's theme song, ""Manhattan in January""",Dance to change the world
515,"Global warming's theme song, ""Manhattan in January""",How a penny made me feel like a millionaire
516,Casting a spell on the cello,Cape Breton fiddling in reel time
517,Casting a spell on the cello,"""What You've Got"""
518,Casting a spell on the cello,The untouchable music of the theremin
519,Casting a spell on the cello,"""Love Is a Loaded Pistol"""
520,Casting a spell on the cello,A one-man orchestra of the imagination
521,Casting a spell on the cello,You owe it to yourself to experience a total solar eclipse
522,The illusion of consciousness,Dangerous memes
523,The illusion of consciousness,How brain science will change computing
524,The illusion of consciousness,My stroke of insight
525,The illusion of consciousness,Our shared condition -- consciousness
526,The illusion of consciousness,How do you explain consciousness?
527,The illusion of consciousness,Your brain hallucinates your conscious reality
528,How to truly listen,The transformative power of classical music
529,How to truly listen,Inventing instruments that unlock new music
530,How to truly listen,The untouchable music of the theremin
531,How to truly listen,The DIY orchestra of the future
532,How to truly listen,How architecture helped music evolve
533,How to truly listen,The mad scientist of music
534,Cradle to cradle design,The route to a sustainable future
